Electoral_District,Electoral_District_Name,Polling_Station_Number,Polling_Station_Name,Electors_for_Polling_Station,Candidate_Family_Name,Candidate_Middle_Name,Candidate_First_Name,Political_Affiliation_Name_English,Incumbent_Indicator,Elected_Candidate_Indicator,Candidate_Poll_Votes_Count
35001,Ajax,59,Ajax,512,Alexander,,Chris,Conservative,Y,N,84
35001,Ajax,59,Ajax,512,Brown,,Stephanie,NDP-New Democratic Party,N,N,17
35001,Ajax,59,Ajax,512,Hill,,Jeff,Green Party,N,N,2
35001,Ajax,59,Ajax,512,Holland,,Mark,Liberal,N,Y,141
35001,Ajax,59,Ajax,512,Kesic,,Bob,United Party,N,N,0
35001,Ajax,60,Ajax,457,Alexander,,Chris,Conservative,Y,N,55
35001,Ajax,60,Ajax,457,Brown,,Stephanie,NDP-New Democratic Party,N,N,18
35001,Ajax,60,Ajax,457,Hill,,Jeff,Green Party,N,N,0
35001,Ajax,60,Ajax,457,Holland,,Mark,Liberal,N,Y,145
35001,Ajax,60,Ajax,457,Kesic,,Bob,United Party,N,N,0
35001,Ajax,61,Ajax,509,Alexander,,Chris,Conservative,Y,N,53
35001,Ajax,61,Ajax,509,Brown,,Stephanie,NDP-New Democratic Party,N,N,9
35001,Ajax,61,Ajax,509,Hill,,Jeff,Green Party,N,N,0
35001,Ajax,61,Ajax,509,Holland,,Mark,Liberal,N,Y,153
35001,Ajax,61,Ajax,509,Kesic,,Bob,United Party,N,N,0
35001,Ajax,62,Ajax,515,Alexander,,Chris,Conservative,Y,N,45
35001,Ajax,62,Ajax,515,Brown,,Stephanie,NDP-New Democratic Party,N,N,14
35001,Ajax,62,Ajax,515,Hill,,Jeff,Green Party,N,N,0
35001,Ajax,62,Ajax,515,Holland,,Mark,Liberal,N,Y,144
35001,Ajax,62,Ajax,515,Kesic,,Bob,United Party,N,N,0
35001,Ajax,63,Ajax,486,Alexander,,Chris,Conservative,Y,N,59
35001,Ajax,63,Ajax,486,Brown,,Stephanie,NDP-New Democratic Party,N,N,18
35001,Ajax,63,Ajax,486,Hill,,Jeff,Green Party,N,N,5
35001,Ajax,63,Ajax,486,Holland,,Mark,Liberal,N,Y,133
